name,srid,active,hof,positions,start,end,letter
Adrian Madise,MadiAd00,FALSE,FALSE,WR,2003,2003,M
Anthony Madison,MadiAn20,FALSE,FALSE,DB,2006,2011,M
Sam Madison,MadiSa00,FALSE,FALSE,DB,1997,2008,M
John Madsen,MadsJo00,FALSE,FALSE,WR,2006,2008,M
Lynn Madsen,MadsLy20,FALSE,FALSE,DT,1986,1986,M
Mossis Madu,MaduMo00,FALSE,FALSE,RB,2011,2011,M
Lamar Mady,MadyLa00,FALSE,FALSE,G,2013,2014,M
Chet Maeda,MaedCh20,FALSE,FALSE,HB-DB,1945,1945,M
Al Maeder,MaedAl20,FALSE,FALSE,T,1929,1929,M
Jeff Maehl,MaehJe00,FALSE,FALSE,WR,2011,2014,M
Joe Maese,MaesJo20,FALSE,FALSE,C,2001,2005,M
Mike Magac,MagaMi20,FALSE,FALSE,G,1960,1966,M
Alex Magee,MageAl99,FALSE,FALSE,DT,2009,2010,M
Brandon Magee,MageBr00,FALSE,FALSE,OLB,2013,2014,M
Calvin Magee,MageCa00,FALSE,FALSE,TE,1985,1988,M
Jim Magee,MageJi20,FALSE,FALSE,C-T,1944,1946,M
John Magee,MageJo20,FALSE,FALSE,G,1948,1955,M
Terrence Magee,MageTe00,TRUE,FALSE,RB,2015,2017,M
Craig Mager,MageCr00,TRUE,FALSE,CB,2015,2017,M
George Magerkurth,MageGe20,FALSE,FALSE,T,1920,1920,M
Chick Maggioli,MaggCh20,FALSE,FALSE,DB-HB,1948,1950,M
Curt Maggitt,MaggCu00,FALSE,FALSE,OLB,2016,2016,M
Don Maggs,MaggDo20,FALSE,FALSE,T-G,1986,1994,M
Al Maginnes,MagiAl20,FALSE,FALSE,T,1920,1921,M
Dave Maginnes,MagiDa20,FALSE,FALSE,WB-HB,1921,1921,M
Joe Magliolo,MaglJo20,FALSE,FALSE,LB,1948,1948,M
Al Maglisceau,MaglAl20,FALSE,FALSE,T,1929,1929,M
Dante Magnani,MagnDa20,FALSE,FALSE,HB-WB,1940,1950,M
James Magner,MagnJa20,FALSE,FALSE,B,1931,1931,M
Erik Magnuson,MagnEr00,TRUE,FALSE,OT,2017,2017,M
Glen Magnusson,MagnGl20,FALSE,FALSE,G,1925,1925,M
Paul Maguire,MaguPa20,FALSE,FALSE,LB-P,1960,1970,M
George Magulick,MaguGe20,FALSE,FALSE,HB,1944,1944,M
Ryan Mahaffey,MahaRy00,FALSE,FALSE,FB,2011,2011,M
Drew Mahalic,MahaDr20,FALSE,FALSE,LB,1975,1978,M
Bob Mahan,MahaBo20,FALSE,FALSE,B-E,1929,1930,M
Sean Mahan,MahaSe20,FALSE,FALSE,G-C,2003,2009,M
Walter Mahan,MahaWa20,FALSE,FALSE,G,1926,1926,M
Reno Mahe,MaheRe00,FALSE,FALSE,RB,2003,2007,M
Jesse Mahelona,MaheJe20,FALSE,FALSE,DT,2006,2007,M
Birtie Maher,MaheBi20,FALSE,FALSE,E,1920,1920,M
Bruce Maher,MaheBr20,FALSE,FALSE,DB,1960,1969,M
Frank Maher,MaheFr20,FALSE,FALSE,B,1941,1941,M
Eric Mahlum,MahlEr20,FALSE,FALSE,G,1994,1996,M
Patrick Mahomes,MahoPa00,TRUE,FALSE,QB,2017,2017,M
Ike Mahoney,MahoIk20,FALSE,FALSE,B,1925,1931,M
John Mahoney,MahoJo20,FALSE,FALSE,B-E,1923,1923,M
Roger Mahoney,MahoRo20,FALSE,FALSE,C-G-E,1928,1930,M
Al Mahrt,MahrAl20,FALSE,FALSE,B,1920,1922,M
Armin Mahrt,MahrAr20,FALSE,FALSE,TB-BB-HB,1924,1926,M
Johnny Mahrt,MahrJo20,FALSE,FALSE,E,1925,1925,M
Lou Mahrt,MahrLo20,FALSE,FALSE,QB,1926,1927,M
Kaluka Maiava,MaiaKa99,FALSE,FALSE,LB,2009,2014,M
Steve Maidlow,MaidSt20,FALSE,FALSE,LB,1983,1987,M
Marcus Mailei,MailMa00,FALSE,FALSE,RB,2009,2009,M
Ralph Maillard,MailRa20,FALSE,FALSE,T,1929,1929,M
Gil Mains,MainGi20,FALSE,FALSE,DT-DE,1953,1961,M
Jack Maitland,MaitJa00,FALSE,FALSE,RB,1970,1972,M
Don Majkowski,MajkDo00,FALSE,FALSE,QB,1987,1996,M
Billy Majors,MajoBi20,FALSE,FALSE,DB,1961,1961,M
