name,srid,active,hof,positions,start,end,letter
Isaako Aaitui,AaitIs00,FALSE,FALSE,NT,2013,2014,A
Joe Abbey,AbbeJo20,FALSE,FALSE,E,1948,1949,A
Fay Abbott,AbboFa20,FALSE,FALSE,BB-FB-TB-QB-WB-E,1921,1929,A
Vince Abbott,abbotvin01,FALSE,FALSE,K,1987,1988,A
Jared Abbrederis,AbbrJa00,TRUE,FALSE,WR,2014,2017,A
Duke Abbruzzi,AbbrDu20,FALSE,FALSE,HB-DB,1946,1946,A
Mehdi Abdesmad,AbdeMe00,TRUE,FALSE,DE,2016,2016,A
Karim Abdul-Jabbar,AbduKa00,FALSE,FALSE,RB,1996,2000,A
Isa Abdul-Quddus,AbduIs00,FALSE,FALSE,S,2011,2016,A
Ameer Abdullah,AbduAm00,TRUE,FALSE,RB,2015,2017,A
Hamza Abdullah,AbduHa20,FALSE,FALSE,DB,2005,2011,A
Husain Abdullah,AbduHu99,FALSE,FALSE,DB,2008,2015,A
Khalid Abdullah,AbduKh20,FALSE,FALSE,LB,2003,2003,A
Rabih Abdullah,AbduRa00,FALSE,FALSE,RB,1999,2004,A
Rahim Abdullah,AbduRa20,FALSE,FALSE,LB,1999,2000,A
Fred Abel,AbelFr20,FALSE,FALSE,BB-FB,1926,1926,A
Bud Abell,AbelBu20,FALSE,FALSE,LB,1966,1968,A
Walter Abercrombie,AberWa00,FALSE,FALSE,RB,1982,1988,A
Cliff Aberson,AberCl20,FALSE,FALSE,TB-DB,1946,1946,A
Victor Abiamiri,AbiaVi99,FALSE,FALSE,DE,2007,2009,A
Oday Aboushi,AbouOd00,TRUE,FALSE,OT,2014,2017,A
Clifton Abraham,AbraCl20,FALSE,FALSE,DB,1995,1997,A
Donnie Abraham,AbraDo00,FALSE,FALSE,DB,1996,2004,A
John Abraham,AbraJo00,FALSE,FALSE,DE,2000,2014,A
Robert Abraham,AbraRo20,FALSE,FALSE,LB,1982,1987,A
Danny Abramowicz,AbraDa00,FALSE,FALSE,E,1967,1974,A
Sid Abramowitz,AbraSi20,FALSE,FALSE,T,1983,1987,A
Bobby Abrams,AbraBo20,FALSE,FALSE,LB,1990,1995,A
Kevin Abrams,AbraKe20,FALSE,FALSE,DB,1997,1999,A
Nate Abrams,AbraNa20,FALSE,FALSE,E,1921,1921,A
George Abramson,AbraGe20,FALSE,FALSE,G-T,1925,1925,A
Dick Abrell,AbreDi20,FALSE,FALSE,BB-WB,1920,1920,A
Ray Abruzzese,AbruRa20,FALSE,FALSE,B,1962,1966,A
Frank Abruzzino,AbruFr20,FALSE,FALSE,BB-LB-C-G-E-WB-DB,1931,1933,A
Dick Absher,AbshDi20,FALSE,FALSE,LB-K,1967,1972,A
Steve Ache,AcheSt20,FALSE,FALSE,LB,1987,1987,A
George Achica,AchiGe20,FALSE,FALSE,DT,1985,1985,A
Sneeze Achiu,AchiSn20,FALSE,FALSE,WB-TB-E-BB,1927,1928,A
Emmanuel Acho,AchoEm00,FALSE,FALSE,OLB,2012,2014,A
Sam Acho,AchoSa00,TRUE,FALSE,OLB,2011,2017,A
Bill Acker,AckeBi20,FALSE,FALSE,NT,1980,1987,A
Kenneth Acker,AckeKe00,TRUE,FALSE,CB,2014,2017,A
Rick Ackerman,AckeRi20,FALSE,FALSE,NT-DT,1982,1987,A
Tom Ackerman,AckeTo20,FALSE,FALSE,G-C,1996,2003,A
Ron Acks,AcksRo20,FALSE,FALSE,LB,1968,1976,A
Fred Acorn,AcorFr20,FALSE,FALSE,DB,1984,1984,A
Ed Adamchik,AdamEd20,FALSE,FALSE,C,1965,1965,A
Mike Adamle,AdamMi01,FALSE,FALSE,RB,1971,1976,A
Tony Adamle,AdamTo02,FALSE,FALSE,LB-FB,1947,1954,A
Aaron Adams,AdamAa00,FALSE,FALSE,T,2014,2014,A
Andrew Adams,AdamAn00,FALSE,FALSE,FS,2016,2017,A
Anthony Adams,AdamAn20,FALSE,FALSE,DT-NT,2003,2011,A
Bill Adams,AdamBi20,FALSE,FALSE,G-T,1972,1978,A
Blue Adams,AdamBl20,FALSE,FALSE,DB,2003,2007,A
Bob Adams,AdamBo00,FALSE,FALSE,TE-T,1969,1976,A
Brent Adams,AdamBr20,FALSE,FALSE,T,1975,1977,A
Charlie Adams,AdamCh00,FALSE,FALSE,WR,2003,2005,A
Chet Adams,AdamCh20,FALSE,FALSE,T-E-DT,1939,1950,A
Curtis Adams,AdamCu00,FALSE,FALSE,RB,1985,1988,A
D.J. Adams,AdamD.00,FALSE,FALSE,RB,2014,2014,A
Darvin Adams,AdamDa00,FALSE,FALSE,WR,2011,2011,A
Davante Adams,AdamDa01,TRUE,FALSE,WR,2014,2017,A
David Adams,AdamDa20,FALSE,FALSE,RB,1987,1987,A
Doug Adams,AdamDo20,FALSE,FALSE,LB,1971,1974,A
Earnest Adams,AdamEa20,FALSE,FALSE,LB,1987,1987,A
Flozell Adams,AdamFl00,FALSE,FALSE,T-G-TE,1998,2010,A
Gaines Adams,AdamGa99,FALSE,FALSE,DE,2007,2009,A
George Adams,AdamGe00,FALSE,FALSE,RB,1985,1991,A
Henry Adams,AdamHe20,FALSE,FALSE,C,1939,1939,A
Jamal Adams,AdamJa00,TRUE,FALSE,SS,2017,2017,A
Jamar Adams,AdamJa20,FALSE,FALSE,DB,2008,2010,A
Jeff Adams,AdamJe00,TRUE,FALSE,T,2012,2015,A
Jerell Adams,AdamJe01,TRUE,FALSE,TE,2016,2017,A
Joe Adams,AdamJo01,FALSE,FALSE,WR,2012,2012,A
John Adams,AdamJo20,FALSE,FALSE,T,1945,1949,A
John Adams,AdamJo00,FALSE,FALSE,E-FB,1959,1963,A
Johnny Adams,AdamJo02,FALSE,FALSE,CB,2013,2013,A
Julius Adams,AdamJu00,FALSE,FALSE,DE-DT,1971,1987,A
Keith Adams,AdamKe20,FALSE,FALSE,LB,2001,2007,A
Kendrick Adams,AdamKe01,FALSE,FALSE,DL,2012,2012,A
Kris Adams,AdamKr00,FALSE,FALSE,WR,2012,2012,A
Kyle Adams,AdamKy00,FALSE,FALSE,TE,2011,2013,A
Michael Adams,AdamMi20,FALSE,FALSE,DB,1987,1989,A
Michael Adams,AdamMi98,FALSE,FALSE,DB,2007,2013,A
Mike Adams,AdamMi00,FALSE,FALSE,WR,1997,1997,A
Mike Adams,AdamMi21,TRUE,FALSE,DB,2004,2017,A
Mike Adams,AdamMi02,FALSE,FALSE,OT,2012,2016,A
Montravius Adams,AdamMo00,TRUE,FALSE,DT,2017,2017,A
Neal Adams,AdamNe20,FALSE,FALSE,E,1942,1947,A
Pete Adams,AdamPe20,FALSE,FALSE,G,1974,1976,A
Phillip Adams,AdamPh00,FALSE,FALSE,DB,2010,2015,A
Rodney Adams,AdamRo01,TRUE,FALSE,WR,2017,2017,A
Sam Adams,AdamSa20,FALSE,FALSE,G-T,1972,1981,A
Sam Adams,AdamSa00,FALSE,FALSE,DT-DE,1994,2007,A
Scott Adams,AdamSc20,FALSE,FALSE,G-T,1992,1997,A
Stan Adams,AdamSt20,FALSE,FALSE,LB,1984,1984,A
Stefon Adams,AdamSt21,FALSE,FALSE,DB,1986,1990,A
Theo Adams,AdamTh20,FALSE,FALSE,T,1992,1993,A
Titus Adams,AdamTi00,FALSE,FALSE,DT,2009,2009,A
Tom Adams,AdamTo01,FALSE,FALSE,WR,1962,1962,A
Tony Adams,AdamTo00,FALSE,FALSE,QB,1975,1987,A
Tyrell Adams,AdamTy00,TRUE,FALSE,LB,2016,2017,A
Vashone Adams,AdamVa20,FALSE,FALSE,DB,1995,1997,A
Verlin Adams,AdamVe20,FALSE,FALSE,DE-T-G-E-LB,1943,1945,A
Willie Adams,AdamWi20,FALSE,FALSE,DE-LB,1965,1966,A
Willis Adams,AdamWi00,FALSE,FALSE,WR,1979,1985,A
Ken Adamson,AdamKe00,FALSE,FALSE,G,1960,1962,A
Levy Adcock,AdcoLe00,FALSE,FALSE,T,2012,2012,A
Jahleel Addae,AddaJa00,TRUE,FALSE,S,2013,2017,A
Joseph Addai,AddaJo00,FALSE,FALSE,RB,2006,2011,A
Abe Addams,AddaAb20,FALSE,FALSE,DE,1949,1949,A
Herb Adderley,AddeHe00,FALSE,TRUE,DB,1961,1972,A
Bralon Addison,AddiBr01,FALSE,FALSE,RB,2016,2016,A
Mario Addison,AddiMa00,TRUE,FALSE,DE,2011,2017,A
Tom Addison,AddiTo00,FALSE,FALSE,LB,1960,1967,A
Nick Adduci,AdduNi20,FALSE,FALSE,LB,1954,1955,A
Quincy Adeboyejo,AdebQu00,TRUE,FALSE,WR,2017,2017,A
Victor Adeyanju,AdeyVi20,FALSE,FALSE,DE,2006,2009,A
Xavier Adibi,AdibXa99,FALSE,FALSE,LB,2008,2012,A
John Adickes,AdicJo20,FALSE,FALSE,C,1987,1989,A
Mark Adickes,AdicMa20,FALSE,FALSE,G,1986,1991,A
Jude Adjei-Barimah,AdjeJu00,TRUE,FALSE,CB,2015,2016,A
Bob Adkins,AdkiBo20,FALSE,FALSE,BB-DE-G-LB,1940,1945,A
Kevin Adkins,AdkiKe20,FALSE,FALSE,DB,1987,1987,A
Margene Adkins,AdkiMa00,FALSE,FALSE,WR,1970,1973,A
Roy Adkins,AdkiRo20,FALSE,FALSE,G,1920,1920,A
Sam Adkins,AdkiSa00,FALSE,FALSE,QB,1977,1981,A
Spencer Adkins,AdkiSp99,FALSE,FALSE,LB,2009,2011,A
James Adkisson,AdkiJa00,FALSE,FALSE,WR,2006,2006,A
Daniel Adongo,AdonDa00,FALSE,FALSE,LB,2013,2015,A
Al Afalava,AfalAl99,FALSE,FALSE,DB,2009,2012,A
Erik Affholter,AffhEr00,FALSE,FALSE,WR,1991,1991,A
Dick Afflis,AfflDi20,FALSE,FALSE,T-DG-G,1951,1954,A
Ben Agajanian,AgajBe20,FALSE,FALSE,K,1945,1964,A
Alex Agase,AgasAl20,FALSE,FALSE,LB-G,1947,1953,A
Louis Age,AgexLo20,FALSE,FALSE,T,1992,1992,A
Mel Agee,AgeeMe20,FALSE,FALSE,DE-DT,1991,1995,A
Sam Agee,AgeeSa20,FALSE,FALSE,FB,1938,1939,A
Tommie Agee,AgeeTo00,FALSE,FALSE,RB,1988,1994,A
Nelson Agholor,AghoNe00,TRUE,FALSE,WR,2015,2017,A
Bob Agler,AgleBo20,FALSE,FALSE,HB-DB-FB-LB,1948,1949,A
Jamal Agnew,AgneJa00,TRUE,FALSE,CB,2017,2017,A
Ray Agnew,AgneRa20,FALSE,FALSE,DT-DE,1990,2000,A
Ray Agnew,AgneRa00,FALSE,FALSE,FB,2014,2014,A
Vince Agnew,AgneVi00,FALSE,FALSE,CB,2012,2012,A
Roberto Aguayo,AguaRo00,TRUE,FALSE,K,2016,2016,A
Louie Aguiar,aguialou01,FALSE,FALSE,P,1991,2000,A
Joe Aguirre,AguiJo20,FALSE,FALSE,E,1941,1949,A
C.J. Ah You,AhYoC.00,FALSE,FALSE,DE,2009,2011,A
Chidi Ahanotu,AhanCh20,FALSE,FALSE,DE-DT,1993,2004,A
Dan Ahern,AherDa20,FALSE,FALSE,T,1921,1921,A
Dave Ahrens,AhreDa20,FALSE,FALSE,LB,1981,1990,A
Tony Aiello,AielTo20,FALSE,FALSE,WB-BB,1944,1944,A
Danny Aiken,AikeDa00,FALSE,FALSE,LS,2011,2015,A
Kamar Aiken,AikeKa00,TRUE,FALSE,WR,2011,2017,A
Sam Aiken,AikeSa00,FALSE,FALSE,WR,2003,2010,A
Carl Aikens,AikeCa20,FALSE,FALSE,WR,1987,1987,A
Walt Aikens,AikeWa00,TRUE,FALSE,CB,2014,2017,A
Troy Aikman,AikmTr00,FALSE,TRUE,QB,1989,2000,A
Jim Ailinger,AiliJi20,FALSE,FALSE,G,1924,1924,A
Charles Aiu,AiuxCh20,FALSE,FALSE,G,1976,1978,A
Victor Aiyewa,AiyeVi00,FALSE,FALSE,LB,2013,2013,A
Jay Ajayi,AjayJa00,TRUE,FALSE,RB,2015,2017,A
Seyi Ajirotutu,AjirSe00,FALSE,FALSE,WR,2010,2015,A
Hakim Akbar,AkbaHa20,FALSE,FALSE,LB,2001,2002,A
David Akers,akersdav01,FALSE,FALSE,K,1998,2013,A
Harold Akin,AkinHa20,FALSE,FALSE,T,1967,1968,A
Len Akin,AkinLe20,FALSE,FALSE,G-LB,1942,1942,A
Al Akins,AkinAl20,FALSE,FALSE,HB-DB,1946,1948,A
Chris Akins,AkinCh20,FALSE,FALSE,DB,1999,2003,A
Frank Akins,AkinFr00,FALSE,FALSE,FB,1943,1946,A
Mike Akiu,AkiuMi20,FALSE,FALSE,WR,1985,1986,A
Anthony Alabi,AlabAn20,FALSE,FALSE,T,2006,2007,A
Ikaika Alama-Francis,AlamIk99,FALSE,FALSE,DE,2007,2011,A
Dick Alban,AlbaDi00,FALSE,FALSE,DB,1952,1959,A
Dom Albanese,AlbaDo20,FALSE,FALSE,BB-E-FB,1925,1925,A
Vannie Albanese,AlbaVa20,FALSE,FALSE,FB-DB-BB-LB,1937,1938,A
Tom Alberghini,AlbeTo20,FALSE,FALSE,G,1945,1945,A
Branden Albert,AlbeBr20,FALSE,FALSE,G,2008,2016,A
Frankie Albert,AlbeFr00,FALSE,FALSE,QB-DB,1946,1952,A
Sergio Albert,AlbeSe20,FALSE,FALSE,K,1974,1974,A
Trev Alberts,AlbeTr20,FALSE,FALSE,LB,1994,1996,A
Art Albrecht,AlbrAr20,FALSE,FALSE,T-C-LB,1942,1944,A
Ted Albrecht,AlbrTe20,FALSE,FALSE,T-G,1977,1981,A
Alex Albright,AlbrAl00,FALSE,FALSE,LB,2011,2012,A
Bill Albright,AlbrBi20,FALSE,FALSE,G-T-DT,1951,1954,A
Bryson Albright,AlbrBr00,TRUE,FALSE,LB,2016,2017,A
Ethan Albright,AlbrEt20,FALSE,FALSE,G-C-T,1995,2010,A
Ira Albright,AlbrIr20,FALSE,FALSE,NT-RB,1987,1987,A
Vince Albritton,AlbrVi20,FALSE,FALSE,DB,1984,1991,A
Zac Alcorn,AlcoZa20,FALSE,FALSE,TE,2006,2006,A
Grady Alderman,AldeGr00,FALSE,FALSE,T-G,1960,1974,A
John Alderton,AldeJo20,FALSE,FALSE,DE,1953,1953,A
Ki Aldrich,AldrKi20,FALSE,FALSE,C-LB-G,1939,1947,A
Allen Aldridge,AldrAl20,FALSE,FALSE,DE,1971,1974,A
Allen Aldridge,AldrAl21,FALSE,FALSE,LB,1994,2001,A
Bennie Aldridge,AldrBe00,FALSE,FALSE,DB-HB,1950,1953,A
Jerry Aldridge,AldrJe20,FALSE,FALSE,RB,1980,1980,A
Kevin Aldridge,AldrKe20,FALSE,FALSE,DE,2002,2002,A
Lionel Aldridge,AldrLi20,FALSE,FALSE,DE,1963,1973,A
Melvin Aldridge,AldrMe20,FALSE,FALSE,DB,1993,1995,A
Arnold Ale,AlexAr20,FALSE,FALSE,LB,1994,1996,A
Ink Aleaga,AleaIn20,FALSE,FALSE,LB,1997,1999,A
Chas Alecxih,AlecCh00,FALSE,FALSE,DT,2012,2014,A
Keith Alex,AlexKe20,FALSE,FALSE,G,1993,1993,A
Steve Alexakos,AlexSt20,FALSE,FALSE,G,1970,1971,A
Alvester Alexander,AlexAl00,FALSE,FALSE,RB,2012,2012,A
Brent Alexander,AlexBr20,FALSE,FALSE,DB,1994,2005,A
Bruce Alexander,AlexBr21,FALSE,FALSE,DB,1989,1993,A
Charles Alexander,AlexCh00,FALSE,FALSE,RB,1979,1985,A
D.J. Alexander,AlexD.00,TRUE,FALSE,OLB,2015,2017,A
Dan Alexander,AlexDa20,FALSE,FALSE,G-T,1977,1989,A
Dan Alexander,AlexDa21,FALSE,FALSE,RB,2001,2003,A
Danario Alexander,AlexDa00,FALSE,FALSE,WR,2010,2012,A
David Alexander,AlexDa22,FALSE,FALSE,C-G-T,1987,1996,A
Derrick Alexander,AlexDe00,FALSE,FALSE,WR,1994,2002,A
Derrick Alexander,AlexDe20,FALSE,FALSE,DE,1995,1999,A
Doc Alexander,AlexDo20,FALSE,FALSE,C-G-T-E,1921,1927,A
Dominique Alexander,AlexDo01,TRUE,FALSE,LB,2016,2017,A
Elijah Alexander,AlexEl20,FALSE,FALSE,LB,1992,2001,A
Eric Alexander,AlexEr20,FALSE,FALSE,LB,2004,2010,A
Frank Alexander,AlexFr00,FALSE,FALSE,DE,2012,2014,A
Gerald Alexander,AlexGe99,FALSE,FALSE,DB,2007,2011,A
Glenn Alexander,AlexGl00,FALSE,FALSE,WR,1970,1970,A
Harold Alexander,AlexHa20,FALSE,FALSE,P,1993,1994,A
Jeff Alexander,AlexJe00,FALSE,FALSE,RB,1989,1992,A
John Alexander,AlexJo20,FALSE,FALSE,T,1922,1926,A
John Alexander,AlexJo21,FALSE,FALSE,DE,1977,1978,A
Kermit Alexander,AlexKe01,FALSE,FALSE,DB,1963,1973,A
Kevin Alexander,AlexKe00,FALSE,FALSE,WR,1996,1997,A
Kevin Alexander,AlexKe02,FALSE,FALSE,LB-DE,2010,2010,A
Kwon Alexander,AlexKw00,TRUE,FALSE,OLB,2015,2017,A
Lorenzo Alexander,AlexLo99,TRUE,FALSE,LB,2007,2017,A
Mackensie Alexander,AlexMa01,TRUE,FALSE,CB,2016,2017,A
Maurice Alexander,AlexMa00,TRUE,FALSE,SS,2014,2017,A
Mike Alexander,AlexMi00,FALSE,FALSE,WR,1989,1991,A
Mister Alexander,AlexMi01,FALSE,FALSE,LB,2011,2014,A
P.J. Alexander,AlexP.20,FALSE,FALSE,G,2004,2007,A
Patrise Alexander,AlexPa20,FALSE,FALSE,LB,1996,1998,A
Ray Alexander,AlexRa00,FALSE,FALSE,WR,1984,1989,A
Robert Alexander,AlexRo20,FALSE,FALSE,RB,1982,1983,A
Roc Alexander,AlexRo21,FALSE,FALSE,DB,2004,2006,A
Rogers Alexander,AlexRo22,FALSE,FALSE,LB,1986,1987,A
Rufus Alexander,AlexRu20,FALSE,FALSE,LB,2008,2008,A
Shaun Alexander,AlexSh00,FALSE,FALSE,RB,2000,2008,A
Stephen Alexander,AlexSt00,FALSE,FALSE,TE,1998,2006,A
Vadal Alexander,AlexVa00,TRUE,FALSE,OG,2016,2017,A
Vincent Alexander,AlexVi20,FALSE,FALSE,RB,1987,1987,A
Willie Alexander,AlexWi20,FALSE,FALSE,DB,1971,1979,A
Alton Alexis,AlexAl20,FALSE,FALSE,WR,1980,1980,A
Rich Alexis,AlexRi00,FALSE,FALSE,RB,2005,2007,A
Ted Alflen,AlflTe20,FALSE,FALSE,RB,1969,1969,A
Julie Alfonse,AlfoJu20,FALSE,FALSE,WB-TB-DB,1937,1938,A
Brian Alford,AlfoBr00,FALSE,FALSE,WR,1998,1999,A
Bruce Alford,AlfoBr01,FALSE,FALSE,E-DB,1946,1951,A
Bruce Alford,AlfoBr20,FALSE,FALSE,K,1967,1969,A
Darnell Alford,AlfoDa20,FALSE,FALSE,G,2000,2001,A
Dominic Alford,AlfoDo00,FALSE,FALSE,OL,2012,2012,A
Gene Alford,AlfoGe20,FALSE,FALSE,WB-DB-BB-FB,1931,1934,A
Jay Alford,AlfoJa99,FALSE,FALSE,DT,2007,2010,A
Lynwood Alford,AlfoLy20,FALSE,FALSE,LB,1987,1987,A
Mario Alford,AlfoMa00,TRUE,FALSE,WR,2015,2016,A
Mike Alford,AlfoMi20,FALSE,FALSE,C,1965,1966,A
Robert Alford,AlfoRo00,TRUE,FALSE,CB,2013,2017,A
Warren Alfson,AlfsWa20,FALSE,FALSE,G-LB,1941,1941,A
Charles Ali,AlixCh00,FALSE,FALSE,RB,2007,2008,A
Tuineau Alipate,AlipTu20,FALSE,FALSE,LB,1994,1995,A
Don Allard,AllaDo20,FALSE,FALSE,QB,1961,1962,A
Raul Allegre,allegrau01,FALSE,FALSE,K,1983,1991,A
Andy Alleman,AlleAn20,FALSE,FALSE,G,2008,2009,A
Anthony Allen,AlleAn00,FALSE,FALSE,WR,1985,1989,A
Anthony Allen,AlleAn01,FALSE,FALSE,RB,2011,2012,A
Antonio Allen,AlleAn02,FALSE,FALSE,SS,2012,2016,A
Armando Allen,AlleAr00,FALSE,FALSE,RB,2011,2012,A
Asher Allen,AlleAs99,FALSE,FALSE,DB,2009,2011,A
Beau Allen,AlleBe00,TRUE,FALSE,DT,2014,2017,A
Brian Allen,AlleBr21,FALSE,FALSE,LB,2001,2004,A
Brian Allen,AlleBr20,FALSE,FALSE,RB,2003,2003,A
Brian Allen,AlleBr01,TRUE,FALSE,CB,2017,2017,A
Buddy Allen,AlleBu00,FALSE,FALSE,HB,1961,1961,A
Carl Allen,AlleCa20,FALSE,FALSE,RB-DB,1948,1948,A
Carl Allen,AlleCa21,FALSE,FALSE,DB,1977,1982,A
Chase Allen,AlleCh02,TRUE,FALSE,LB,2017,2017,A
Chuck Allen,AlleCh00,FALSE,FALSE,LB,1961,1972,A
Cortez Allen,AlleCo00,FALSE,FALSE,DB,2011,2015,A
Dalva Allen,AlleDa20,FALSE,FALSE,DE,1960,1964,A
David Allen,AlleDa00,FALSE,FALSE,RB,2003,2005,A
Denicos Allen,AlleDe00,FALSE,FALSE,OLB,2014,2014,A
Derek Allen,AlleDe20,FALSE,FALSE,G,1995,1995,A
Don Allen,AlleDo01,FALSE,FALSE,FB,1960,1960,A
Doug Allen,AlleDo20,FALSE,FALSE,LB,1974,1975,A
Duane Allen,AlleDu00,FALSE,FALSE,TE,1961,1967,A
Dwayne Allen,AlleDw00,TRUE,FALSE,TE,2012,2017,A
Earl Allen,AlleEa20,FALSE,FALSE,DB,1987,1987,A
Ed Allen,AlleEd20,FALSE,FALSE,E,1928,1928,A
Eddie Allen,AlleEd21,FALSE,FALSE,FB-LB,1947,1947,A
Egypt Allen,AlleEg20,FALSE,FALSE,DB,1987,1987,A
Eric Allen,AlleEr00,FALSE,FALSE,DB,1988,2001,A
Ermal Allen,AlleEr20,FALSE,FALSE,QB-DB,1947,1947,A
Gary Allen,AlleGa20,FALSE,FALSE,RB,1982,1984,A
George Allen,AlleGe20,FALSE,FALSE,T,1966,1966,A
Gerry Allen,AlleJe00,FALSE,FALSE,RB,1966,1969,A
Grady Allen,AlleGr20,FALSE,FALSE,LB,1968,1972,A
Greg Allen,AlleGr21,FALSE,FALSE,RB,1985,1986,A
Harvey Allen,AlleHa20,FALSE,FALSE,DB,1987,1987,A
Ian Allen,AlleIa20,FALSE,FALSE,T,2002,2005,A
Jackie Allen,AlleJa20,FALSE,FALSE,DB,1969,1972,A
Jake Allen,AlleJa24,FALSE,FALSE,WR,2009,2009,A
James Allen,AlleJa00,FALSE,FALSE,RB,1998,2002,A
James Allen,AlleJa21,FALSE,FALSE,LB,2002,2005,A
Jared Allen,AlleJa22,FALSE,FALSE,DE,2004,2015,A
Jason Allen,AlleJa23,FALSE,FALSE,DB,2006,2012,A
Javorius Allen,AlleJa01,TRUE,FALSE,RB,2015,2017,A
Jeff Allen,AlleJe21,FALSE,FALSE,DB,1971,1971,A
Jeff Allen,AlleJe20,FALSE,FALSE,DB,1980,1982,A
Jeff Allen,AlleJe01,TRUE,FALSE,T,2012,2017,A
Jimmy Allen,AlleJi20,FALSE,FALSE,DB,1974,1981,A
Johnny Allen,AlleJo20,FALSE,FALSE,C-LB,1955,1958,A
Jonathan Allen,AlleJo01,TRUE,FALSE,DT,2017,2017,A
Josh Allen,AlleJo00,TRUE,FALSE,C,2014,2014,A
Keenan Allen,AlleKe00,TRUE,FALSE,WR,2013,2017,A
Kenderick Allen,AlleKe20,FALSE,FALSE,DT,2003,2006,A
Kevin Allen,AlleKe21,FALSE,FALSE,T,1985,1985,A
Larry Allen,AlleLa00,FALSE,TRUE,G-T,1994,2007,A
Lou Allen,AlleLo20,FALSE,FALSE,T,1950,1951,A
Lynn Allen,AlleLy20,FALSE,FALSE,WB,1920,1920,A
Marcus Allen,AlleMa00,FALSE,TRUE,RB,1982,1997,A
Marvin Allen,AlleMa01,FALSE,FALSE,RB,1988,1991,A
Matt Allen,AlleMa20,FALSE,FALSE,P,2002,2002,A
Nate Allen,AlleNa20,FALSE,FALSE,DB,1971,1979,A
Nate Allen,AlleNa99,TRUE,FALSE,DB,2010,2017,A
Patrick Allen,AllePa20,FALSE,FALSE,DB,1984,1990,A
Rashaun Allen,AlleRa00,TRUE,FALSE,TE,2014,2014,A
Ricardo Allen,AlleRi00,TRUE,FALSE,CB,2014,2017,A
Roger Allen,AlleRo20,FALSE,FALSE,G,2009,2012,A
Russell Allen,AlleRu00,FALSE,FALSE,LB,2009,2013,A
Ryan Allen,AlleRy01,TRUE,FALSE,P,2013,2017,A
Taje Allen,AlleTa20,FALSE,FALSE,DB,1997,2002,A
Terry Allen,AlleTe00,FALSE,FALSE,RB,1991,2001,A
Torrence Allen,AlleTo00,FALSE,FALSE,WR,2014,2014,A
Tremayne Allen,AlleTr00,FALSE,FALSE,TE,1997,1997,A
Will Allen,AlleWi20,FALSE,FALSE,DB,2001,2012,A
Will Allen,AlleWi21,FALSE,FALSE,DB,2004,2015,A
Kurt Allerman,AlleKu20,FALSE,FALSE,LB,1977,1985,A
Ty Allert,AlleTy20,FALSE,FALSE,LB,1986,1990,A
Don Alley,AlleDo00,FALSE,FALSE,WR,1967,1969,A
Aundrae Allison,AlliAu00,FALSE,FALSE,WR,2007,2008,A
Geronimo Allison,AlliGe01,TRUE,FALSE,WR,2016,2017,A
Henry Allison,AlliHe20,FALSE,FALSE,G-T,1971,1977,A
Jim Allison,AlliJi00,FALSE,FALSE,RB,1965,1968,A
Neely Allison,AlliNe20,FALSE,FALSE,E,1926,1928,A
Buddy Alliston,AlliBu20,FALSE,FALSE,LB,1960,1960,A
Bob Allman,AllmBo20,FALSE,FALSE,E,1936,1936,A
Brian Allred,AllrBr20,FALSE,FALSE,DB,1993,1993,A
Colin Allred,AllrCo99,FALSE,FALSE,LB,2007,2010,A
John Allred,AllrJo00,FALSE,FALSE,TE,1997,2002,A
Joe Allton,AlltJo20,FALSE,FALSE,T,1942,1942,A
Jeff Alm,AlmxJe20,FALSE,FALSE,DT,1990,1993,A
Beau Almodobar,AlmoBe20,FALSE,FALSE,WR,1987,1987,A
Kiko Alonso,AlonKi00,TRUE,FALSE,ILB,2013,2017,A
Gerald Alphin,AlphGe20,FALSE,FALSE,WR,1990,1991,A
Jon Alston,AlstJo20,FALSE,FALSE,LB,2006,2009,A
Lyneal Alston,AlstLy20,FALSE,FALSE,WR,1987,1987,A
Mack Alston,AlstMa00,FALSE,FALSE,TE,1970,1980,A
O'Brien Alston,AlstOB20,FALSE,FALSE,LB,1988,1989,A
Richard Alston,AlstRi20,FALSE,FALSE,WR,2004,2004,A
Mike Alstott,AlstMi00,FALSE,FALSE,RB,1996,2006,A
John Alt,AltxJo00,FALSE,FALSE,T,1984,1996,A
Jim Althoff,AlthJi20,FALSE,FALSE,DT,1987,1987,A
Tyson Alualu,AluaTy99,TRUE,FALSE,DT,2010,2017,A
Wilson Alvarez,alvarwil01,FALSE,FALSE,K,1981,1981,A
Steve Alvers,AlveSt20,FALSE,FALSE,TE-C,1981,1982,A
Steve Alvord,AlvoSt20,FALSE,FALSE,DT,1987,1988,A
Tom Alward,AlwaTo20,FALSE,FALSE,G,1976,1976,A
Lance Alworth,AlwoLa00,FALSE,TRUE,FL-WR,1962,1972,A
Lyle Alzado,AlzaLy00,FALSE,FALSE,DE-DT,1971,1985,A
Eugene Amano,AmanEu20,FALSE,FALSE,C,2004,2012,A
Jace Amaro,AmarJa00,TRUE,FALSE,TE,2014,2016,A
Ken Amato,AmatKe20,FALSE,FALSE,C,2003,2011,A
Jonathon Amaya,AmayJo00,FALSE,FALSE,DB,2010,2012,A
John Amberg,AmbeJo00,FALSE,FALSE,DB-HB,1951,1952,A
